text,label
പലദേശം. പല ഭാഷ ഒരേ ഒരു രാജാവ്  അല്ലാതെ  സ്വന്തം രാജവയത് അല്ല,0
ഈ ഓണം ഏട്ടനും പിള്ളേർക്ക് ഉള്ളതാണ് എന്ന് ഉള്ളവർ ലൈക്‌ അടി,0
ആരണ്ട ആരണ്ട തലുണ്ടാകാണാ ആരണ്ട ഞാൻ ആണ്ട ഞാൻ ആണ്ട ഞാൻ Royal Mech ആടാ  ആരണ്ട ആരണ്ട മീശ പിരിക്കുന്ന ആരണ്ട ഞാൻ ആണ്ട ഞാൻ ആണ്ട ഞാൻ royal Mech ആടാ,0
Sushin syam  Shaiju khalid  Midhun manual,0
J A K E S.   B EJ O Y !!!,0
Pwoli item padam kananda ennu karuthiyatha pakshe ini kaanum,0
Oru ratchasan feel kittitu ullalo. Bgm athra adipoliyano,0
Super casting,0
ഷൈലോക്ക് ന്റെ നല്ല ടീസർ ആയിട്ട് പോലും ട്രോളി നടന്ന ലാലേട്ടൻ ഫാൻസിന് കിട്ടിയൊരു നല്ലൊരു തിരിച്ചടി തന്നെ ആയിരിന്നു ബിഗ് ബ്രദർ ന്റെ ട്രെയ്‌ലർ,0
ന്റമ്മോ ഇജ്ജാതി trailor.. Uffftrailor ethegilum.. Padam. Pwoliyo pwoli,0
ഇത് ബോംബ് ആകും എന്ന് തോന്നുന്നവർ Like അടിക്ക്....,0
Ee asurante varavin katta waiting........MAMMOOKKA.. uyir,0
Rajuvettan chunkalla chunkidipaan adi makalle like Neela adi chunk കളെ,0
Ettan kurch koode perfect akum enn vicharikunu by H,0
മാമാങ്കത്തിൽ മമ്മൂക്കയെ കണ്ടു . ഇതിപ്പോ ആരാ .,0
Vada..  ithu kettu romancham vannavarku likenulla coment,0
Haneef adeni pwolikkum  Maass trailer  Mommookkayude Face kanum yenn pradeekshichu  Sambavam marana maass aann,0
padam vere leval kandu  ada oru figth,0
ഓണത്തിനു ജെട്ടിമാണി നൽകിയ ക്ഷീണം ക്രിസ്മസിനു ഇതു മാറ്റുമെന്ന് പ്രതീക്ഷിക്കുന്നു ',0
ആ ജോഷി തന്നെയാണോ??? joshiy എന്നു കണ്ടതുകൊണ്ടു ചോതിച്ചതാണ്???ആരാണെങ്കിലും trailer അടിപൊളി!,0
തെറ്റ് കൾ തിരുത്തിയാൽ നന്നായിരിക്കും. അല്ലങ്കിൽ തിരുത്താൻ പറ്റാത്ത തെറ്റായിരിക്കും.,0
Ikka polikumen urappullavar like and comment please,0
December 12 inn katta waitingullar like poad,0
Jobi jorge padam ano. Potti mone,1
ippo mansilai e padam 8 nilayil pottum,0
Adar Trailer ......summer mass entertainer thanne aayirikum enn pratheekshikunnu......,0
Richie orma vanathu eniku mathram ano,0
Ningalkarkum commercile pillere ariyillie mech,0
Kalkikku malayalathinte dhathuputhran alluarjun fansite vijayaashamsakal,0
Fahad shane soubin baasi  kidu team,0
Whatsapp status ലെ പോലെ ആ triangal എഫക്ട് വന്നിലെങ്കിൽ ടീസർ ഒരു  ഒരു വൃത്തി ഉണ്ടയെന്നെ...,0
Soubin achanod vazhakakakunu...achanu sahayathinu robotine soubin set akunu...robotinte koode jeevikuna achan parishkari akunu...achanum makanum onnikunu...subham,0
Shariya killi chundan thanne sreenivasan enthei hajiyar,0
Mangeettu moongeetu povaan shenoyi vere janikanam,0
Malayalam film industry il vere aarkku pattum iddehathe pole aakan. Pakaram vekkan aarumillatha one and only Lalettan,0
1 week kayinjal edenkilum channelil kanam,0
Tovinooo tovinoo....... tovinooo tovinoooo masss..kkaa... valliyappaaa.....,0
കിടു  കിടുവേ....  ഇനി വന്നങ്ങ് അടിച്ചു പൊളിച്ചാൽ മതി,0
Lalettan massaaa verum Mass Alla kolamass lalettan ki jaiiii,0
പൊറിഞ്ചുവും മറിയവും ജോസും  ജോഷി സാറിന്റെ  ഒപ്പം കൂടി ഒരു  തൃശൂർ  പൂരമാണ് ഒരിക്കിയിരിക്കുന്നത്  എന്നു ഇതു കണ്ടപ്പോൾ manasilayi,0
Ithippo enthinulla purappadanavo randalum koodi Suraj  Soubi,0
bhasi machan  und..ath mathram mathi...padam .pwolikum,0
Cinema kanditum idakku idakku keri trailer kanund,0
ജിമിട്ടൊളികൾ ഇപ്പോളെ unlike അടിച്ചു തുടങ്ങി  അസുരൻ loading..,1
Muriyandikal pannikuutatam pole thurimezhukuvansllooscenes are rememmbering pulimurugan,1
Nth bhashayado ith vech ketti malabr bhasha samsarikkunnu. Mohanlal malabarine kaliyakkunnu,1
50 pathu pravasham kandavar adi like,0
Padam kandavarkku like aam Mass ka baap,0
മിഥുൻ  comedy ഇല്ലാതെ പടം,0
Ithu......kaanumbol 2016-il irangiya...... Shahrukh Khan abhinayicha hindi movie faninte oru cheriya cut undo ennu oru samshayam......,0
Late ayappo excitment koodyavar like adi,0
എന്റെ പൊന്നോ... വെറും mass അല്ല.... മരണ മാസ്സ്.  A  NEW FACE OF FACE OF INDIAN CINEMA,0
Eee filim pakuthiyum njangade avida shooting market polii poliii Kottayam daaaa,0
Nivin variety ആള് ആണ് nivin pauly ഉയിരാണ്,0
Ithu poloru movie malayalathil kaanan orupaadu agrahichirunu pakshae aenokae Different konduvanitundo apozhokae malayali thatimaatiyitundu ithu athu polaavathirikatae new gen moviekarum youthum kungfuyae ishtapeduna aelaavarum movie theatril thanae poyi kandaal mathiyayirunu all the best,0
